n,time_us,p
2,3067.92,serial
4,36.92,serial
8,210.73,serial
16,1537.39,serial
32,11880.37,serial
64,93822.49,serial
128,703110.20,serial
256,5762125.61,serial
512,56108219.87,serial
1024,457673255.88,serial
2048,3659474901.25,serial
2,38.94,dense
4,8.51,dense
8,9.89,dense
16,13.62,dense
32,22.03,dense
64,36.12,dense
128,66.26,dense
256,126.95,dense
512,521.65,dense
1024,2960.90,dense
2048,22046.99,dense
2,49.54,tiled
4,17.88,tiled
8,16.54,tiled
16,16.49,tiled
32,27.41,tiled
64,47.33,tiled
128,88.40,tiled
256,171.02,tiled
512,349.75,tiled
1024,2594.00,tiled
2048,18503.64,tiled
