n,time_us,p
2,0.32,serial_host
4,0.35,serial_host
8,1.64,serial_host
16,11.65,serial_host
32,92.76,serial_host
64,743.38,serial_host
128,6074.68,serial_host
256,48071.42,serial_host
512,389249.46,serial_host
1024,3606042.85,serial_host
2048,28706714.59,serial_host
2,38.94,dense
4,8.51,dense
8,9.89,dense
16,13.62,dense
32,22.03,dense
64,36.12,dense
128,66.26,dense
256,126.95,dense
512,521.65,dense
1024,2960.90,dense
2048,22046.99,dense
2,49.54,tiled
4,17.88,tiled
8,16.54,tiled
16,16.49,tiled
32,27.41,tiled
64,47.33,tiled
128,88.40,tiled
256,171.02,tiled
512,349.75,tiled
1024,2594.00,tiled
2048,18503.64,tiled
